id,Name,tag1,tag2,tag3,tag4,tag5
39,강북문화원,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
40,강암서예관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
41,강원 신재생에너지전시관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
42,강원경찰박물관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
43,강원대학교중앙박물관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
44,강원도 산림박물관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
45,강원종합박물관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
46,강진 고려청자박물관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
47,강진군도서관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
48,강화문예회관,"('wood', 0.039495364)","('ecoregion', 0.033855308)","('architecture', 0.032606564)","('asphalt', 0.0298899)","('tent', 0.028096568)"
49,강화문학관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
50,강화문화원(강화미술관),"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
51,강화역사박물관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
52,강화자연사박물관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
53,강화화문석문화관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
54,객주문학관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
55,갤러리 S.P,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
56,갤러리 나우,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
57,갤러리 더 화,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
58,갤러리 라메르,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
59,갤러리 룩스,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
60,갤러리 마노,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
61,갤러리 미고,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
62,갤러리 미즈,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
63,갤러리 서림,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
64,갤러리 스케이프,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
65,갤러리 스클로,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
66,갤러리 시몬,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
67,갤러리 아트링크,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
68,갤러리 아트사이드,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
69,갤러리 엠,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
70,갤러리 우림,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
71,갤러리 원,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
72,갤러리 인데코,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
73,갤러리 피치,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
74,갤러리 한,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
75,갤러리 현대,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
76,갤러리3안,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
77,갤러리도올,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
78,갤러리미,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
79,갤러리박영,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
80,갤러리소헌,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
81,갤러리에이엠,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
82,갤러리위,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
83,갤러리정,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
84,갤러리조선,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
85,거제문화원,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
86,거제박물관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
87,거제씨월드,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
88,거제어촌민속전시관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
89,거창박물관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
